"ID","Type","Name","Documentation","Specialization"
"id-a38bdc19622f419196e1f096879b2a00","ArchimateModel","LFEnergyFunctionalArchitectureModel","The LF Energy members EPRI, RTE, Alliander, and Aachen University have joined together in LF Energy Archimate Working Group to create an architecture model for LF Energy.

LF Energy is an open-source foundation focused on the power systems sector, hosted within The Linux Foundation. LF Energy provides a neutral, collaborative community to build the shared digital investments that will transform the world’s relationship to energy.

The goal of the LF Energy Architecture Model is to become the place to go for sharing references architectures and project architectures within the LF Energy community. It aims to clarify the ecosystem of LF Energy: wherefore can the LF Energy projects be used, how they interact together, and examples of how they can be adopted in reference architectures. This will provide a clear and deep understanding of how the LF Energy projects contribute to business functions and help the project adoption, foster synergies between projects, and limit the overlap between projects.

For more information, please watch the special episode of TFiR: State of Energy where Swapnil Bhartiya sits down with Prince Singh, Solution Architect at Alliander and Benoît Jeanson, Enterprise Architect at RTE, and talk about LF Energy Architecture Model and how it makes it easier for anybody in the world to identify LF Energy Projects that are of interest to them and how they can be integrated into their organization.",""
"id-15ab5084c4cc4f23aaeeb747735d0d8c","Capability","Capability","A capability represents an ability that an active structure element, such as an organization, person, or system, possesses.

In the field of business, strategic thinking and planning delivers strategies and high-level goals that are often not directly implementable in the architecture of an organization. These long-term or generic plans need to be specified and made actionable in a way that both business leaders and Enterprise Architects can relate to, and at a relatively high abstraction level.

Capabilities help to reduce this gap by focusing on business outcomes. On the one hand, they provide a high-level view of the current and desired abilities of an organization, in relation to its strategy and its environment. On the other hand, they are realized by various elements (people, processes, systems, and so on) that can be described, designed, and implemented using Enterprise Architecture approaches. Capabilities may also have serving relationships; for example, to denote that one capability contributes to another.

Capabilities are expressed in general and high-level terms and are typically realized by a combination of organization, people, processes, information, and technology. For example, marketing, customer contact, or outbound telemarketing",""
"id-d5c4e6fa7f6647be8480b2da6c96cda3","BusinessActor","Balance Supplier","A party that markets the difference between actual metered energy consumption and the energy bought with firm energy contracts by the Party Connected to the Grid. In addition, the Balance Supplier markets any difference with the firm energy contract (of the Party Connected to the Grid) and the metered production.

There is only one Balance Supplier for each Accounting Point.",""
"id-6623db359a5e41d9b8eedb9d930e380f","BusinessActor","Business Actor","A business actor represents a business entity that is capable of performing behavior.
A business actor is a business entity as opposed to a technical entity; i.e., it belongs to the Business Layer. Actors may, however, include entities outside the actual organization; e.g., customers and partners.

A business actor may be assigned to one or more business roles. It can then perform the behavior to which these business roles are assigned. A business actor can be aggregated in a location. The name of a business actor should preferably be a noun.",""
"id-00baecf43ba04d3e8065ca0e0c72c2ac","BusinessActor","Business User","",""
"id-ec746d3d0e6744dcb78eb78c55075e4b","BusinessActor","Capacity Trader","A party that has a contract to participate in the Capacity Market to acquire capacity through a Transmission Capacity Allocator.

The capacity may be acquired on behalf of an Interconnection Trade Responsible or for sale on secondary capacity markets.",""
"id-b544fae45ed54991a15a85c6db986fd4","BusinessActor","Control Entity","",""
"id-57e76aa978444803a707ffc655ce085f","BusinessActor","Developer","",""
"id-78f5bd8c2c1c4295bba4001d8314231b","BusinessActor","Energy Service Company","A party offering energy-related services to the Party Connected to Grid, but not directly active in the energy value chain or the physical infrastructure itself. The ESCO may provide insight services as well as energy management services.",""
"id-73c8043b390c4589931dc7d6adda727e","BusinessActor","Grid Access Provider","A party responsible for providing access to the grid through a Metering Point for energy consumption or production to the Party Connected to the Grid. The party is also responsible for creating and terminating Metering Points.",""
